primary_label,secondary_labels,type,latitude,longitude,scientific_name,common_name,author,license,rating,url,filename
abethr1,[],['song'],4.3906,38.2788,Turdus tephronotus,African Bare-eyed Thrush,Rolf A. de By,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/128013,abethr1/XC128013.ogg
abethr1,[],['call'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/363501,abethr1/XC363501.ogg
abethr1,[],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/363502,abethr1/XC363502.ogg
abethr1,[],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,5.0,https://www.xeno-canto.org/363503,abethr1/XC363503.ogg
abethr1,[],"['call', 'song']",-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.5,https://www.xeno-canto.org/363504,abethr1/XC363504.ogg
abethr1,['rbsrob1'],['song'],-2.9524,38.2921,Turdus tephronotus,African Bare-eyed Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,3.5,https://www.xeno-canto.org/379322,abethr1/XC379322.ogg
abhori1,['combul2'],"['call', 'song']",-15.9259,29.0292,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/120250,abhori1/XC120250.ogg
abhori1,['rindov'],"['call', 'song']",-15.9259,29.0292,Oriolus larvatus,African Black-headed Oriole,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.5,https://www.xeno-canto.org/120251,abhori1/XC120251.ogg
abhori1,"['blbpuf2', 'fotdro5', 'reedov1']",['song'],-5.7214,37.9942,Oriolus larvatus,African Black-headed Oriole,David Moyer,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/127317,abhori1/XC127317.ogg
abhori1,['fotdro5'],['song'],-5.7214,37.9942,Oriolus larvatus,African Black-headed Oriole,David Moyer,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/127318,abhori1/XC127318.ogg
abythr1,['afrgos1'],['song'],-7.8334,36.3834,Turdus abyssinicus,Abyssinian Thrush,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,2.5,https://www.xeno-canto.org/115981,abythr1/XC115981.ogg
abythr1,"['afdfly1', 'afrgos1']",['song'],-7.8334,36.3834,Turdus abyssinicus,Abyssinian Thrush,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,1.5,https://www.xeno-canto.org/115983,abythr1/XC115983.ogg
abythr1,[],['song'],-1.2422,36.8033,Turdus abyssinicus,Abyssinian Thrush,Rory Nefdt,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,5.0,https://www.xeno-canto.org/122413,abythr1/XC122413.ogg
abythr1,[],['song'],-7.7834,36.4995,Turdus abyssinicus,Abyssinian Thrush,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,4.0,https://www.xeno-canto.org/124898,abythr1/XC124898.ogg
abythr1,[],['song'],-7.8805,36.0267,Turdus abyssinicus,Abyssinian Thrush,Louis A. Hansen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,3.5,https://www.xeno-canto.org/125862,abythr1/XC125862.ogg
abythr1,[],['call'],-1.24,36.787,Turdus abyssinicus,Abyssinian Thrush,James Bradley,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,4.0,https://www.xeno-canto.org/205444,abythr1/XC205444.ogg
